Symbol,Pre Market Volume,Price % Change from Open,% From Daily VWAP,ADR % - 1 Day,ADR - 1 Day,ATR - 14 Days,Last,Volume,Pre Market Last,Pre Market Price % Change,Relative Volume - 5 Day,Relative Volume - 20 Day,Industry,DCR,WCR,Name
WH,NaN,0.95%,0.85%,2.12%,1.82,3.0221,$87.32,1571174,$NaN,NaN%,1.6941,1.4898,"Hotels, Restaurants & Leisure",91%,90%,"Wyndham Hotels & Resorts, Inc."
WHD,NaN,-2.14%,0.14%,4.59%,2.34,2.1225,$52,931200,$NaN,NaN%,1.4312,2.0486,Energy Equipment & Services,45%,35%,"Cactus, Inc."
WHR,766,3.26%,-0.98%,7.17%,2.7,2.2691,$38.9699,2029847,$37.7917,0.14%,0.9111,0.9723,Household Durables,49%,68%,Whirlpool Corporation
WING,NaN,2.35%,-0.58%,4.68%,7.6231,10.1084,$166.78,1105690,$NaN,NaN%,1.1996,1.2277,"Hotels, Restaurants & Leisure",50%,82%,Wingstop Inc.
WIX,4784,4.34%,0.89%,5.01%,2.12,2.8585,$44.19,926733,$42.23,1.22%,0.6596,0.5924,IT Services,87%,94%,Wix.com Ltd.
WK,NaN,4.05%,1.15%,4.99%,2.35,2.2448,$49.05,778917,$NaN,NaN%,0.9769,1.026,Software,81%,91%,Workiva Inc.
WKC,NaN,4.41%,2.74%,5.21%,1.67,0.9226,$33.62,1001177,$NaN,NaN%,1.4989,1.7629,"Oil, Gas & Consumable Fuels",95%,96%,World Kinect Corporation
WLK,343,0.83%,0.70%,1.81%,1.37,2.7682,$76.63,1123768,$76.54,0.00%,0.9233,1.488,Chemicals,74%,48%,Westlake Corporation
WLY,NaN,5.48%,2.66%,5.93%,2.705,2.0901,$48.195,706659,$NaN,NaN%,1.7053,2.0243,Media,96%,98%,"John Wiley & Sons, Inc."
WM,211420,0.33%,-0.42%,1.45%,3.26,4.8493,$225.52,1817847,$224.78,0.76%,1.1268,1.0947,Commercial Services & Supplies,27%,84%,"Waste Management, Inc."
